split,seed,coverage,source_hidden,inferred_cycle_s,true_cycle_s,abs_error_s,abs_error_pct
tune,1000,1.0,False,69.05244698392853,75.83325372785308,6.780806743924543,8.941732565319159
tune,1000,0.75,False,69.05244698392853,75.83325372785308,6.780806743924543,8.941732565319159
tune,1000,0.5,False,69.05244698392853,75.83325372785308,6.780806743924543,8.941732565319159
tune,1000,0.25,True,72.53037124514036,77.78874713438289,5.258375889242529,6.759815632662773
tune,1003,1.0,False,83.43616113115519,86.34825822119386,2.912097090038671,3.372502410620609
tune,1003,0.75,True,83.1335154585875,83.78239972491333,0.6488842663258367,0.774487563565079
tune,1003,0.5,True,81.99870982287685,84.10529031349522,2.10658049061837,2.5046943929047423
tune,1003,0.25,True,84.21632310135028,86.5973924795752,2.3810693782249217,2.7495855360616304
tune,1006,1.0,False,75.05149060935315,80.88828515573124,5.836794546378087,7.21587129105373
tune,1006,0.75,False,75.05149060935315,80.88828515573124,5.836794546378087,7.21587129105373
tune,1006,0.5,False,72.62000791866595,80.88828515573124,8.268277237065291,10.221847602711174
tune,1006,0.25,False,75.05149060935315,80.88828515573124,5.836794546378087,7.21587129105373
tune,1007,1.0,False,66.01625413732836,75.00620195188586,8.989947814557496,11.985605964056502
tune,1007,0.75,False,66.01625413732836,75.00620195188586,8.989947814557496,11.985605964056502
test,5002,1.0,False,64.0946500032204,66.10909560654504,2.0144456033246456,3.0471534738787263
test,5002,0.75,False,65.8222860494791,67.30599866753911,1.4837126180600109,2.2044285018173095
test,5002,0.5,True,65.24455184818557,66.94918743727119,1.7046355890856262,2.5461632236878216
test,5002,0.25,True,62.32568368532399,66.10909560654504,3.7834119212210524,5.722982422476947
test,5003,1.0,False,70.5759519497568,74.60586225065508,4.02991030089828,5.401600061076829
test,5009,1.0,False,67.6166891792532,68.35337302478449,0.7366838455312887,1.0777578529506833
test,5009,0.75,False,66.73954291593375,68.35337302478449,1.6138301088507347,2.3610101995487045
test,5009,0.5,False,66.73954291593375,68.35337302478449,1.6138301088507347,2.3610101995487045
test,5009,0.25,True,66.73954291593375,68.35337302478449,1.6138301088507347,2.3610101995487045
test,5010,1.0,False,77.09817128315869,82.39134061327599,5.293169330117294,6.424424327505587
test,5010,0.75,True,79.39595509446663,86.03221110288622,6.636256008419593,7.713687609961892
test,5010,0.5,True,79.11052107042293,83.76557294574192,4.655051875318989,5.557237551916751
test,5011,1.0,False,81.96118048424299,83.78748168797567,1.8263012037326831,2.179682652993228
test,5011,0.75,True,81.96118048424299,83.78748168797567,1.8263012037326831,2.179682652993228
test,5018,1.0,False,67.92643825788545,70.19552609385286,2.2690878359674116,3.2325248662337747
test,5018,0.75,True,71.64082580861141,74.36174089566687,2.7209150870554595,3.659025534209904
test,5021,1.0,False,73.06541391931387,76.18713652353438,3.1217226042205084,4.097440521676781
test,5021,0.75,True,79.66294134584557,83.37430149554798,3.711360149702415,4.451443769997394
test,5021,0.5,True,79.18317935277155,82.86394764052662,3.680768287755072,4.441941752187176
test,5022,1.0,False,76.47454449777337,77.89272056532667,1.4181760675533042,1.820678565674074
