coverage,method,seed,source_hidden,magnitude,threshold,true_station,n_quiet_windows,false_alarm_rate,n_episodes
0.25,B0_SPC_observed,5054.5,0.6909090909090909,3.2612008985487364,4.674774997918179,19.82051282051282,154.4181818181818,0.0058464622568900415,110
0.25,B1_IsolationForest,5054.5,0.6909090909090909,3.2612008985487364,0.7158774793615637,19.82051282051282,154.4181818181818,0.006822713225739802,110
0.25,B2_observed_only_twin,5054.5,0.6909090909090909,3.2612008985487364,23.87066583332845,19.82051282051282,154.4181818181818,0.0068081186308822485,110
0.25,B3_TurningPoint,5054.5,0.6909090909090909,3.2612008985487364,0.39660743155955724,19.82051282051282,154.4181818181818,0.011576457252209531,110
0.25,RippleTwin,5054.5,0.6909090909090909,3.2612008985487364,23.87887940963418,19.82051282051282,154.4181818181818,0.00785784523731264,110
0.5,B0_SPC_observed,5054.5,0.5454545454545454,3.2612008985487364,5.012127239822025,19.82051282051282,154.4181818181818,0.012742857282473291,110
0.5,B1_IsolationForest,5054.5,0.5454545454545454,3.2612008985487364,0.7423023198141773,19.82051282051282,154.4181818181818,0.030158599659612147,110
0.5,B2_observed_only_twin,5054.5,0.5454545454545454,3.2612008985487364,39.987745614480566,19.82051282051282,154.4181818181818,0.012023831077769947,110
0.5,B3_TurningPoint,5054.5,0.5454545454545454,3.2612008985487364,0.40563520887847676,19.82051282051282,154.4181818181818,0.013954722765322307,110
0.5,RippleTwin,5054.5,0.5454545454545454,3.2612008985487364,39.99294167411538,19.82051282051282,154.4181818181818,0.012221174731336909,110
0.75,B0_SPC_observed,5054.5,0.41818181818181815,3.2612008985487364,5.061702559429017,19.82051282051282,154.4181818181818,0.01632502564183558,110
0.75,B1_IsolationForest,5054.5,0.41818181818181815,3.2612008985487364,0.7423023198141773,19.82051282051282,154.4181818181818,0.039003755697354585,110
0.75,B2_observed_only_twin,5054.5,0.41818181818181815,3.2612008985487364,31.303642058256866,19.82051282051282,154.4181818181818,0.013244270536247686,110
0.75,B3_TurningPoint,5054.5,0.41818181818181815,3.2612008985487364,0.41240313011539886,19.82051282051282,154.4181818181818,0.011417990961925724,110
0.75,RippleTwin,5054.5,0.41818181818181815,3.2612008985487364,31.303642058256866,19.82051282051282,154.4181818181818,0.013849256459415425,110
1.0,B0_SPC_observed,5054.5,0.0,3.2612008985487364,5.124273832797681,19.82051282051282,154.4181818181818,0.02527561789145672,110
1.0,B1_IsolationForest,5054.5,0.0,3.2612008985487364,0.7784702529546166,19.82051282051282,154.4181818181818,0.012655167761374432,110
1.0,B2_observed_only_twin,5054.5,0.0,3.2612008985487364,42.5638498837417,19.82051282051282,154.4181818181818,0.015408640466887662,110
1.0,B3_TurningPoint,5054.5,0.0,3.2612008985487364,0.4108436123761012,19.82051282051282,154.4181818181818,0.010069820466115018,110
1.0,RippleTwin,5054.5,0.0,3.2612008985487364,42.5638498837417,19.82051282051282,154.4181818181818,0.015408640466887662,110
