head,n,n_positive,brier,ece,coverage_frac,n_reliable_bins
bottleneck_risk,2240.0,213.0,0.06025229967748736,0.13163810732892597,1.0,5.0
defect_risk,448000.0,1900.0,0.015547721371973876,0.056634748839450924,1.0,5.0
