coverage,source_hidden,n,mae_pct,median_pct,mae_s
0.25,False,2,7.676888699703299,7.676888699703299,6.695443903946469
0.25,True,8,4.272723328149884,3.8307641753991475,3.2717451662960064
0.5,False,10,4.320395091141252,4.028658608555353,3.417810489222643
0.5,True,16,4.51027429265982,4.296974406564699,3.639259398204749
0.75,False,19,3.888743799637943,3.1775274949058634,2.9573401493164053
0.75,True,18,3.932606361146267,3.2952711228795915,3.1299658483689825
1.0,False,40,3.4881597536100855,3.041134855278967,2.7211645040843178
