seed,station,station_id,kind,magnitude,source_hidden,board_moment_s,ever_visible_on_board,throughput_vph,nominal_rate_vph,top1_episode,within1_episode,detected_episode
5000,17,S18,SLOWDOWN,1.1949660821520764,True,,False,49.012283378795836,49.95731840045454,0.0,0.0,1.0
5002,4,S05,SLOWDOWN,1.2319251079170532,False,,False,49.841278850744544,49.95731840045454,1.0,1.0,1.0
5003,34,S35,SLOWDOWN,1.2705041636670094,True,,False,48.941766251356164,49.95731840045454,0.0,0.0,0.0
5008,9,S10,COMBINED,1.14039917558224,True,,False,48.887732086690534,49.95731840045454,0.0,0.0,0.0
5009,8,S09,SLOWDOWN,1.2601684573104932,False,,False,50.35706675186163,49.95731840045454,1.0,1.0,1.0
5010,36,S37,SLOWDOWN,1.4180308973979445,True,38329.01840171225,True,47.62196502795696,49.95731840045454,1.0,1.0,1.0
5011,17,S18,SLOWDOWN,1.4485291535733276,True,,False,49.48024566807585,49.95731840045454,1.0,1.0,1.0
5018,17,S18,SLOWDOWN,1.2030161082769026,True,,False,49.51969352125164,49.95731840045454,1.0,1.0,1.0
5021,31,S32,COMBINED,1.2630645324144383,True,43715.35909578156,True,48.447570740963776,49.95731840045454,1.0,1.0,1.0
5022,17,S18,SLOWDOWN,1.3539098816349975,True,,False,49.69773339206196,49.95731840045454,1.0,1.0,1.0
5027,1,S02,SLOWDOWN,1.2682430732073742,True,,False,49.315501970016285,49.95731840045454,1.0,1.0,1.0
5030,17,S18,COMBINED,1.2713160039732971,True,,False,49.4134905410242,49.95731840045454,0.0,0.0,0.0
5031,21,S22,SLOWDOWN,1.427351941411458,False,44754.13202400762,True,48.81946601525309,49.95731840045454,1.0,1.0,1.0
5032,17,S18,COMBINED,1.2548267707663434,True,,False,48.99110291908987,49.95731840045454,1.0,1.0,1.0
5033,14,S15,SLOWDOWN,1.278085418596527,False,,False,49.60734939552717,49.95731840045454,1.0,1.0,1.0
5035,26,S27,SLOWDOWN,1.2256720948200042,True,,False,49.36571813409633,49.95731840045454,1.0,1.0,1.0
5036,25,S26,COMBINED,1.2814103309747698,False,,False,49.235561889566696,49.95731840045454,1.0,1.0,1.0
5039,24,S25,SLOWDOWN,1.3911928852386626,False,29651.90660461825,True,46.46031441659589,49.95731840045454,1.0,1.0,1.0
5041,9,S10,SLOWDOWN,1.4106346101364826,True,,False,49.38279579734113,49.95731840045454,1.0,1.0,1.0
5042,20,S21,COMBINED,1.2612598316952393,False,,False,49.76707698155456,49.95731840045454,1.0,1.0,1.0
5043,10,S11,COMBINED,1.3308489462414401,False,,False,49.5408295939041,49.95731840045454,1.0,1.0,1.0
5046,31,S32,SLOWDOWN,1.3067344976587847,True,45222.24814448954,True,48.166335096790284,49.95731840045454,0.0,0.0,1.0
5048,19,S20,COMBINED,1.167618339699741,False,,False,49.573966524389775,49.95731840045454,1.0,1.0,1.0
5051,1,S02,SLOWDOWN,1.3070556122301205,True,,False,49.85641135848609,49.95731840045454,1.0,1.0,1.0
5053,9,S10,COMBINED,1.300812052213753,True,,False,50.7429472348482,49.95731840045454,1.0,1.0,1.0
5054,32,S33,SLOWDOWN,1.2351127769475707,True,,False,48.57928163648378,49.95731840045454,0.0,0.0,0.0
5055,20,S21,SLOWDOWN,1.1700154409010246,False,,False,49.62875862665816,49.95731840045454,0.0,0.0,0.0
5056,17,S18,SLOWDOWN,1.4145830916116453,True,36883.36515912354,True,48.34230763605119,49.95731840045454,1.0,1.0,1.0
5058,17,S18,SLOWDOWN,1.2528500393887334,True,,False,49.77534724254725,49.95731840045454,0.0,0.0,0.0
5066,19,S20,SLOWDOWN,1.3295242898176327,False,,False,49.64725585995424,49.95731840045454,1.0,1.0,1.0
5071,31,S32,COMBINED,1.2195802883337588,True,,False,49.16399428693798,49.95731840045454,0.0,0.0,1.0
5073,17,S18,SLOWDOWN,1.3031455640101535,True,,False,49.28338294437828,49.95731840045454,1.0,1.0,1.0
5078,25,S26,SLOWDOWN,1.1564989171704545,False,34471.68310215343,True,49.1448728420643,49.95731840045454,0.0,0.0,0.0
5079,16,S17,SLOWDOWN,1.2255855851041377,False,,False,48.44294736183543,49.95731840045454,1.0,1.0,1.0
5080,1,S02,COMBINED,1.1556730393508616,True,,False,49.21096949025801,49.95731840045454,0.0,0.0,0.0
5087,17,S18,SLOWDOWN,1.1826709669087176,True,,False,49.00472018856921,49.95731840045454,0.0,0.0,0.0
5088,7,S08,COMBINED,1.42501396886687,True,,False,49.64775850405206,49.95731840045454,1.0,1.0,1.0
5089,17,S18,COMBINED,1.1621656533914013,True,51491.87620657413,True,49.12673745480087,49.95731840045454,0.0,0.0,1.0
5090,32,S33,SLOWDOWN,1.2275352675419855,True,,False,49.13792093827932,49.95731840045454,0.0,0.0,0.0
5096,3,S04,SLOWDOWN,1.3160609460945203,False,,False,48.25036592904502,49.95731840045454,1.0,1.0,1.0
5097,38,S39,SLOWDOWN,1.4294561572624191,False,23568.87141821292,True,48.30920035618529,49.95731840045454,1.0,1.0,1.0
5099,40,S41,SLOWDOWN,1.1574358092999795,False,,False,50.495435137836395,49.95731840045454,0.0,0.0,1.0
5101,19,S20,COMBINED,1.2823454101910827,False,,False,49.466819029149185,49.95731840045454,1.0,1.0,1.0
5103,28,S29,SLOWDOWN,1.3671204813149551,False,45578.20319868774,True,47.47258496568274,49.95731840045454,1.0,1.0,1.0
5104,35,S36,COMBINED,1.3433616346689874,False,43699.097712111696,True,47.32750652075164,49.95731840045454,1.0,1.0,1.0
5107,31,S32,SLOWDOWN,1.4208892241827291,True,40136.74319225238,True,48.65861846810659,49.95731840045454,1.0,1.0,1.0
5108,21,S22,SLOWDOWN,1.4466577530601472,False,,False,49.565525842548624,49.95731840045454,1.0,1.0,1.0
5109,16,S17,COMBINED,1.2299351787986026,False,,False,49.295861933588085,49.95731840045454,1.0,1.0,1.0
