regime,loc_n_windows_during,loc_detection_rate,loc_detected_episode,loc_top1,loc_within1,loc_median_station_error,loc_top1_episode,loc_within1_episode,loc_lead_time_min,loc_first_correct_alert_t_s,loc_first_alert_t_s
baseline,49.3,0.4394827842558935,0.7,0.710801393728223,0.8482142857142857,1.2857142857142858,0.5,0.6,-59.07114621232677,34256.031215745556,37123.16121962543
with_feedback,49.3,0.4394827842558935,0.7,0.710801393728223,0.8482142857142857,1.2857142857142858,0.5,0.6,-59.07114621232677,34256.031215745556,37123.16121962543
