split,seed,coverage,method,fault_kind,source_hidden,magnitude,threshold,true_station,n_quiet_windows,false_alarm_rate
tune,1002,0.5,B0_SPC_observed,QUALITY_DRIFT,True,9.371311867995367,5.012127239822025,36.0,144,0.0
tune,1002,0.5,B3_TurningPoint,QUALITY_DRIFT,True,9.371311867995367,0.40563520887847676,36.0,144,0.020833333333333332
tune,1002,0.5,B1_IsolationForest,QUALITY_DRIFT,True,9.371311867995367,0.7423023198141773,36.0,144,0.041666666666666664
tune,1002,0.25,RippleTwin,QUALITY_DRIFT,True,9.371311867995367,23.87887940963418,36.0,144,0.0
tune,1002,0.25,B2_observed_only_twin,QUALITY_DRIFT,True,9.371311867995367,23.87066583332845,36.0,144,0.0
tune,1002,0.25,B0_SPC_observed,QUALITY_DRIFT,True,9.371311867995367,4.674774997918179,36.0,144,0.0
tune,1002,0.25,B3_TurningPoint,QUALITY_DRIFT,True,9.371311867995367,0.39660743155955724,36.0,144,0.020833333333333332
tune,1002,0.25,B1_IsolationForest,QUALITY_DRIFT,True,9.371311867995367,0.7158774793615637,36.0,144,0.0
tune,1003,1.0,RippleTwin,COMBINED,False,1.3731549871195838,42.5638498837417,7.0,151,0.0
tune,1003,1.0,B2_observed_only_twin,COMBINED,False,1.3731549871195838,42.5638498837417,7.0,151,0.0
tune,1003,1.0,B0_SPC_observed,COMBINED,False,1.3731549871195838,5.124273832797681,7.0,151,0.006622516556291391
tune,1003,1.0,B3_TurningPoint,COMBINED,False,1.3731549871195838,0.4108436123761012,7.0,151,0.0
tune,1003,1.0,B1_IsolationForest,COMBINED,False,1.3731549871195838,0.7784702529546166,7.0,151,0.0
tune,1003,0.75,RippleTwin,COMBINED,True,1.3731549871195838,31.30364205825687,7.0,151,0.0
tune,1003,0.75,B2_observed_only_twin,COMBINED,True,1.3731549871195838,31.30364205825687,7.0,151,0.0
tune,1003,0.75,B0_SPC_observed,COMBINED,True,1.3731549871195838,5.061702559429017,7.0,151,0.006622516556291391
tune,1003,0.75,B3_TurningPoint,COMBINED,True,1.3731549871195838,0.41240313011539886,7.0,151,0.0
tune,1003,0.75,B1_IsolationForest,COMBINED,True,1.3731549871195838,0.7423023198141773,7.0,151,0.019867549668874173
tune,1003,0.5,RippleTwin,COMBINED,True,1.3731549871195838,39.99294167411538,7.0,151,0.0
tune,1003,0.5,B2_observed_only_twin,COMBINED,True,1.3731549871195838,39.987745614480566,7.0,151,0.0
tune,1003,0.5,B0_SPC_observed,COMBINED,True,1.3731549871195838,5.012127239822025,7.0,151,0.006622516556291391
tune,1003,0.5,B3_TurningPoint,COMBINED,True,1.3731549871195838,0.40563520887847676,7.0,151,0.0
