coverage,method,target_fpr,seed,source_hidden,magnitude,threshold,true_station,n_windows_during,detection_rate,detected_episode,top1,within1,median_station_error,lead_time_min,top1_episode,within1_episode,false_alarm_rate,first_alert_t_s,first_correct_alert_t_s,n_episodes
0.25,B0_SPC_observed,0.005,5053.038461538462,0.9743589743589743,4.59912947231232,4.674774997918179,19.82051282051282,56.93589743589744,0.021023563135202254,0.11538461538461539,0.21895424836601307,0.21895424836601307,10.666666666666666,207.51694934737424,0.02564102564102564,0.02564102564102564,0.004237063709849593,38871.806629664374,33127.186237845286,78
0.25,B0_SPC_observed,0.01,5053.038461538462,0.9743589743589743,4.59912947231232,4.674774997918179,19.82051282051282,56.93589743589744,0.023386304228599324,0.21794871794871795,0.11591695501730104,0.11591695501730104,12.176470588235293,207.51694934737424,0.02564102564102564,0.02564102564102564,0.006321933952024417,38368.51344170378,33127.186237845286,78
0.25,B0_SPC_observed,0.02,5053.038461538462,0.9743589743589743,4.59912947231232,4.674774997918179,19.82051282051282,56.93589743589744,0.02710065610419325,0.28205128205128205,0.089572192513369,0.089572192513369,13.704545454545455,207.51694934737424,0.02564102564102564,0.02564102564102564,0.009974201403257367,39103.36170326522,33127.186237845286,78
0.25,B0_SPC_observed,0.05,5053.038461538462,0.9743589743589743,4.59912947231232,4.674774997918179,19.82051282051282,56.93589743589744,0.039107954140719166,0.4230769230769231,0.05808080808080807,0.05808080808080807,13.287878787878787,207.51694934737424,0.02564102564102564,0.02564102564102564,0.02395927891642064,37708.72515674705,33127.186237845286,78
0.25,B0_SPC_observed,0.1,5053.038461538462,0.9743589743589743,4.59912947231232,4.674774997918179,19.82051282051282,56.93589743589744,0.058945788090211566,0.6794871794871795,0.036163522012578615,0.05455974842767296,12.90566037735849,159.86418869570377,0.02564102564102564,0.05128205128205128,0.044870779544372304,36097.96649346963,28023.20357991077,78
0.25,B1_IsolationForest,0.005,5053.038461538462,0.9743589743589743,4.59912947231232,0.7158774793615637,19.82051282051282,56.93589743589744,0.05608320473593786,0.358974358974359,0.0,0.012896825396825396,7.875,112.21142804403334,0.0,0.0,0.003913296806551036,32630.09029544358,22919.220921976248,78
0.25,B1_IsolationForest,0.01,5053.038461538462,0.9743589743589743,4.59912947231232,0.7158774793615637,19.82051282051282,56.93589743589744,0.0946130503638563,0.4230769230769231,0.0,0.005952380952380952,9.409090909090908,112.21142804403334,0.0,0.0,0.006544851985017671,32649.265227672102,22919.220921976248,78
0.25,B1_IsolationForest,0.02,5053.038461538462,0.9743589743589743,4.59912947231232,0.7158774793615637,19.82051282051282,56.93589743589744,0.12258181128916651,0.5512820512820513,0.0,0.0038422649140546004,9.872093023255815,112.21142804403334,0.0,0.0,0.014896033588862,32103.85150490771,22919.220921976248,78
0.25,B1_IsolationForest,0.05,5053.038461538462,0.9743589743589743,4.59912947231232,0.7158774793615637,19.82051282051282,56.93589743589744,0.18520005266728604,0.717948717948718,0.0,0.013343382807668521,10.044642857142858,112.21142804403334,0.0,0.01282051282051282,0.035291688636289675,31523.848032911726,22919.220921976248,78
0.25,B1_IsolationForest,0.1,5053.038461538462,0.9743589743589743,4.59912947231232,0.7158774793615637,19.82051282051282,56.93589743589744,0.21146199906904145,0.8333333333333334,0.0,0.028690241469146137,10.184615384615384,112.21142804403334,0.0,0.02564102564102564,0.05156065537803197,30628.08803028325,22919.220921976248,78
0.25,B2_observed_only_twin,0.005,5053.038461538462,0.9743589743589743,4.59912947231232,23.87066583332845,19.82051282051282,56.93589743589744,0.19317484053484746,0.44871794871794873,0.05714285714285714,0.22857142857142856,5.057142857142857,194.81651229710732,0.02564102564102564,0.10256410256410256,0.007199897545462093,30895.56640711452,25926.064163826555,78
0.25,B2_observed_only_twin,0.01,5053.038461538462,0.9743589743589743,4.59912947231232,23.87066583332845,19.82051282051282,56.93589743589744,0.20039876688105157,0.46153846153846156,0.05555555555555555,0.2222222222222222,5.083333333333333,194.81651229710732,0.02564102564102564,0.10256410256410256,0.008319141658936505,30396.444901431005,25926.064163826555,78
0.25,B2_observed_only_twin,0.02,5053.038461538462,0.9743589743589743,4.59912947231232,23.87066583332845,19.82051282051282,56.93589743589744,0.26430916465686277,0.6794871794871795,0.03773584905660377,0.21867440735365262,8.0,194.81651229710732,0.02564102564102564,0.15384615384615385,0.04917996739234094,31183.358512676612,25926.064163826555,78
0.25,B2_observed_only_twin,0.05,5053.038461538462,0.9743589743589743,4.59912947231232,23.87066583332845,19.82051282051282,56.93589743589744,0.3020466839336765,0.7948717948717948,0.028987455197132615,0.17233866920052054,9.21774193548387,194.81651229710732,0.02564102564102564,0.14102564102564102,0.10478668931916896,31130.0367703247,25926.064163826555,78
0.25,B2_observed_only_twin,0.1,5053.038461538462,0.9743589743589743,4.59912947231232,23.87066583332845,19.82051282051282,56.93589743589744,0.34413074724379883,0.8846153846153846,0.0245789267528398,0.15222104974728665,9.53623188405797,194.81651229710732,0.02564102564102564,0.14102564102564102,0.1785563883785979,29928.7178780491,25926.064163826555,78
