coverage,method,seed,source_hidden,magnitude,threshold,true_station,n_windows_during,detection_rate,detected_episode,top1,within1,median_station_error,top1_episode,within1_episode,lead_time_min,first_alert_t_s,first_correct_alert_t_s,n_episodes
0.25,B0_SPC_observed,5053.038461538462,0.9743589743589743,4.59912947231232,4.674774997918179,19.82051282051282,56.93589743589744,0.023386304228599324,0.21794871794871795,0.11591695501730104,0.11591695501730104,12.176470588235293,0.02564102564102564,0.02564102564102564,207.51694934737424,38368.51344170378,33127.186237845286,78
0.25,B1_IsolationForest,5053.038461538462,0.9743589743589743,4.59912947231232,0.7158774793615637,19.82051282051282,56.93589743589744,0.0946130503638563,0.4230769230769231,0.0,0.005952380952380952,9.409090909090908,0.0,0.0,112.21142804403334,32649.265227672102,22919.220921976248,78
0.25,B2_observed_only_twin,5053.038461538462,0.9743589743589743,4.59912947231232,23.87066583332845,19.82051282051282,56.93589743589744,0.20039876688105157,0.46153846153846156,0.05555555555555555,0.2222222222222222,5.083333333333333,0.02564102564102564,0.10256410256410256,194.81651229710732,30396.444901431005,25926.064163826555,78
0.25,B3_TurningPoint,5053.038461538462,0.9743589743589743,4.59912947231232,0.39660743155955724,19.82051282051282,56.93589743589744,0.1600853150224666,0.48717948717948717,0.019138755980861243,0.16672883726163623,8.842105263157896,0.01282051282051282,0.07692307692307693,31.232450121833125,30529.532710220836,35741.107894343004,78
0.25,RippleTwin,5053.038461538462,0.9743589743589743,4.59912947231232,23.87887940963418,19.82051282051282,56.93589743589744,0.1897911353051331,0.48717948717948717,0.1653925883651601,0.32974654643825185,5.171052631578948,0.10256410256410256,0.15384615384615385,114.11617687058242,30247.961548649357,32106.17255640036,78
0.5,B0_SPC_observed,5053.038461538462,0.7692307692307693,4.59912947231232,5.012127239822025,19.82051282051282,56.93589743589744,0.11583405089085978,0.3974358974358974,0.4134432929499343,0.4134432929499343,9.193548387096774,0.16666666666666666,0.16666666666666666,173.42150804494156,35507.19907854653,26218.155581424922,78
0.5,B1_IsolationForest,5053.038461538462,0.7692307692307693,4.59912947231232,0.7423023198141773,19.82051282051282,56.93589743589744,0.10828339121277306,0.3333333333333333,0.0,0.09340659340659342,8.923076923076923,0.0,0.038461538461538464,270.601301802576,32573.356069995,20966.94120615837,78
0.5,B2_observed_only_twin,5053.038461538462,0.7692307692307693,4.59912947231232,39.987745614480566,19.82051282051282,56.93589743589744,0.2228722543056417,0.5128205128205128,0.24627659574468086,0.6123119492800344,5.125,0.1282051282051282,0.32051282051282054,200.88167691728535,30824.493280156992,27353.27491739332,78
0.5,B3_TurningPoint,5053.038461538462,0.7692307692307693,4.59912947231232,0.40563520887847676,19.82051282051282,56.93589743589744,0.1833074053720837,0.5384615384615384,0.04511278195488722,0.2578787394016957,7.857142857142857,0.02564102564102564,0.14102564102564102,266.20978209882463,30952.34010618632,24022.160349841724,78
0.5,RippleTwin,5053.038461538462,0.7692307692307693,4.59912947231232,39.99294167411538,19.82051282051282,56.93589743589744,0.22408084968318973,0.5384615384615384,0.5412241071026944,0.5848624912207298,5.035714285714286,0.3076923076923077,0.32051282051282054,183.08572279018534,30641.211384833274,28168.75112768863,78
0.75,B0_SPC_observed,5053.038461538462,0.5897435897435898,4.59912947231232,5.061702559429017,19.82051282051282,56.93589743589744,0.1907936454773191,0.47435897435897434,0.5898960498960499,0.5898960498960499,7.351351351351352,0.28205128205128205,0.28205128205128205,180.55317612899682,33362.59099919136,26120.7917755588,78
0.75,B1_IsolationForest,5053.038461538462,0.5897435897435898,4.59912947231232,0.7423023198141773,19.82051282051282,56.93589743589744,0.14387958636660445,0.4358974358974359,0.0,0.20624668786433492,6.088235294117647,0.0,0.10256410256410256,342.4793244211117,29716.25136479154,21417.21214646663,78
0.75,B2_observed_only_twin,5053.038461538462,0.5897435897435898,4.59912947231232,31.303642058256866,19.82051282051282,56.93589743589744,0.27879760911999923,0.6153846153846154,0.37294621238325837,0.708624423061469,4.416666666666667,0.23076923076923078,0.44871794871794873,191.02105802801645,30802.284047341524,28319.593819627225,78
0.75,B3_TurningPoint,5053.038461538462,0.5897435897435898,4.59912947231232,0.41240313011539886,19.82051282051282,56.93589743589744,0.1622648314805717,0.48717948717948717,0.10061919504643962,0.49057134815648745,7.157894736842105,0.05128205128205128,0.24358974358974358,182.5066204822054,30786.342309748998,25136.898451997688,78
0.75,RippleTwin,5053.038461538462,0.5897435897435898,4.59912947231232,31.303642058256866,19.82051282051282,56.93589743589744,0.2852347753695943,0.6282051282051282,0.6676878251075484,0.7023244063827851,4.153061224489796,0.4230769230769231,0.4358974358974359,198.36383289450322,30133.839636619603,28373.699222472682,78
1.0,B0_SPC_observed,5053.038461538462,0.0,4.59912947231232,5.124273832797681,19.82051282051282,56.93589743589744,0.4009691691712486,0.7307692307692307,0.8644311042859137,0.8644311042859137,2.587719298245614,0.6410256410256411,0.6410256410256411,239.13911143244312,30138.03910717098,25443.528669030504,78
1.0,B1_IsolationForest,5053.038461538462,0.0,4.59912947231232,0.7784702529546166,19.82051282051282,56.93589743589744,0.01083986604673556,0.08974358974358974,0.0,0.0,7.285714285714286,0.0,0.0,,29646.818689296804,,78
1.0,B2_observed_only_twin,5053.038461538462,0.0,4.59912947231232,42.5638498837417,19.82051282051282,56.93589743589744,0.3132589926410994,0.6666666666666666,0.7683783415166393,0.7731860338243316,3.9423076923076925,0.5128205128205128,0.5128205128205128,238.3657768144808,29936.659641318787,25973.582587274024,78
1.0,B3_TurningPoint,5053.038461538462,0.0,4.59912947231232,0.41084361237610123,19.82051282051282,56.93589743589744,0.04413151755842334,0.358974358974359,0.26845238095238094,0.3333874458874459,9.607142857142858,0.10256410256410256,0.1282051282051282,168.76133037036854,32187.661796864326,26860.354463294272,78
1.0,RippleTwin,5053.038461538462,0.0,4.59912947231232,42.5638498837417,19.82051282051282,56.93589743589744,0.3132589926410994,0.6666666666666666,0.7683783415166393,0.7731860338243316,3.9423076923076925,0.5128205128205128,0.5128205128205128,238.3657768144808,29936.659641318787,25973.582587274024,78
