regime,loc_n_windows_during,loc_detection_rate,loc_detected_episode,loc_top1,loc_within1,loc_median_station_error,loc_lead_time_min,loc_top1_episode,loc_within1_episode,fa_n_quiet_windows,fa_false_alarm_rate,mean_confidence,loc_first_alert_t_s,loc_first_correct_alert_t_s,n_episodes
matched,56.45454545454545,0.3984338467976054,0.7272727272727273,0.625,0.625,3.9375,-14.077380917032178,0.45454545454545453,0.45454545454545453,142.33333333333334,0.015157226858315687,0.8951558546612706,34613.39171323169,34245.247366389536,12
shifted,55.63636363636363,0.45335726718509456,0.9090909090909091,0.6875,0.7,4.9,-45.676749477234544,0.6363636363636364,0.6363636363636364,143.08333333333334,0.02176110395288189,0.9103340907330223,36249.16050423221,34675.81293378137,12
