split,seed,coverage,method,fault_kind,source_hidden,magnitude,threshold,true_station,n_windows_during,detection_rate,detected_episode,top1,within1,median_station_error,top1_episode,within1_episode,lead_time_min,first_alert_t_s,first_correct_alert_t_s
tune,1001,0.5,B3_TurningPoint,COMBINED,True,1.1636215766230222,0.40563520887847676,17,71,0.0,0.0,,,,0.0,0.0,,,
tune,1001,0.5,B1_IsolationForest,COMBINED,True,1.1636215766230222,0.7423023198141773,17,71,0.014084507042253521,1.0,0.0,0.0,14.0,0.0,0.0,,27115.10831901064,
tune,1001,0.25,RippleTwin,COMBINED,True,1.1636215766230222,23.87887940963418,17,71,0.0,0.0,,,,0.0,0.0,,,
tune,1001,0.25,B2_observed_only_twin,COMBINED,True,1.1636215766230222,23.87066583332845,17,71,0.0,0.0,,,,0.0,0.0,,,
tune,1001,0.25,B0_SPC_observed,COMBINED,True,1.1636215766230222,4.674774997918179,17,71,0.0,0.0,,,,0.0,0.0,,,
tune,1001,0.25,B3_TurningPoint,COMBINED,True,1.1636215766230222,0.39660743155955724,17,71,0.0,0.0,,,,0.0,0.0,,,
tune,1001,0.25,B1_IsolationForest,COMBINED,True,1.1636215766230222,0.7158774793615637,17,71,0.0,0.0,,,,0.0,0.0,,,
tune,1002,1.0,RippleTwin,QUALITY_DRIFT,False,9.371311867995367,42.5638498837417,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,1.0,B2_observed_only_twin,QUALITY_DRIFT,False,9.371311867995367,42.5638498837417,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,1.0,B0_SPC_observed,QUALITY_DRIFT,False,9.371311867995367,5.124273832797681,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,1.0,B3_TurningPoint,QUALITY_DRIFT,False,9.371311867995367,0.4108436123761012,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,1.0,B1_IsolationForest,QUALITY_DRIFT,False,9.371311867995367,0.7784702529546166,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,0.75,RippleTwin,QUALITY_DRIFT,True,9.371311867995367,31.30364205825687,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,0.75,B2_observed_only_twin,QUALITY_DRIFT,True,9.371311867995367,31.30364205825687,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,0.75,B0_SPC_observed,QUALITY_DRIFT,True,9.371311867995367,5.061702559429017,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,0.75,B3_TurningPoint,QUALITY_DRIFT,True,9.371311867995367,0.41240313011539886,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,0.75,B1_IsolationForest,QUALITY_DRIFT,True,9.371311867995367,0.7423023198141773,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,0.5,RippleTwin,QUALITY_DRIFT,True,9.371311867995367,39.99294167411538,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,0.5,B2_observed_only_twin,QUALITY_DRIFT,True,9.371311867995367,39.987745614480566,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,0.5,B0_SPC_observed,QUALITY_DRIFT,True,9.371311867995367,5.012127239822025,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,0.5,B3_TurningPoint,QUALITY_DRIFT,True,9.371311867995367,0.40563520887847676,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,0.5,B1_IsolationForest,QUALITY_DRIFT,True,9.371311867995367,0.7423023198141773,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,0.25,RippleTwin,QUALITY_DRIFT,True,9.371311867995367,23.87887940963418,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,0.25,B2_observed_only_twin,QUALITY_DRIFT,True,9.371311867995367,23.87066583332845,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,0.25,B0_SPC_observed,QUALITY_DRIFT,True,9.371311867995367,4.674774997918179,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,0.25,B3_TurningPoint,QUALITY_DRIFT,True,9.371311867995367,0.39660743155955724,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1002,0.25,B1_IsolationForest,QUALITY_DRIFT,True,9.371311867995367,0.7158774793615637,36,52,0.0,0.0,,,,0.0,0.0,,,
tune,1003,1.0,RippleTwin,COMBINED,False,1.3731549871195838,42.5638498837417,7,40,0.925,1.0,1.0,1.0,0.0,1.0,1.0,,33718.59278822146,
tune,1003,1.0,B2_observed_only_twin,COMBINED,False,1.3731549871195838,42.5638498837417,7,40,0.925,1.0,1.0,1.0,0.0,1.0,1.0,,33718.59278822146,
tune,1003,1.0,B0_SPC_observed,COMBINED,False,1.3731549871195838,5.124273832797681,7,40,0.875,1.0,1.0,1.0,0.0,1.0,1.0,,33439.46004848935,
tune,1003,1.0,B3_TurningPoint,COMBINED,False,1.3731549871195838,0.4108436123761012,7,40,0.0,0.0,,,,0.0,0.0,,,
tune,1003,1.0,B1_IsolationForest,COMBINED,False,1.3731549871195838,0.7784702529546166,7,40,0.0,0.0,,,,0.0,0.0,,,
